brand,model,os_version,network_type,user_isp_id,user_region_id,user_city_id,bandwidth_Mbps,user_uid,cell_asuLevel,cell_dbm,cell_level,cell_mcc,cell_mnc,cell_mobileNetworkOperator,cell_rssi,cell_timingAdvance,cell_bands,cell_bandwidth,cell_ci,cell_earfcn,cell_tac,cell_rsrp,cell_rsrq,cell_rssnr
vivo,V2121A,11,4G,China Telecom,jilinsheng,sipingshi,138.3,88f9a756b66a32039ac16201503edd77,56,-84;-84,4,460,1,46001,-83;-83,3,[],2147483647,82257173,1650,1907,-84;-84,-6;-6,1
OPPO,PEQM00,12,4G,China Unicom,xinjiangweiwuerzizhiqu,kashidiqu,12.5,a9ac393c26693f5268971a24fbefb341,48,-92;-92;-92;-92;-92;-91;-91;-91;-91;-92;-92;-92;-92;-93;-93;-93;-93;-93;-93;-93,3,460,1,46001,-83;-85;-85;-85;-85;-81;-81;-81;-81;-81;-81;-81;-81;-83;-83;-83;-83;-83;-81;-81,0,['3'],2147483647,119746690,1650,41358,-92;-92;-92;-92;-92;-91;-91;-91;-91;-92;-92;-92;-92;-93;-93;-93;-93;-93;-93;-93,-10;-8;-8;-8;-8;-10;-10;-10;-10;-12;-12;-12;-12;-11;-11;-11;-11;-11;-13;-13,0
vivo,V2134A,11,4G,China Mobile,shandongsheng,rizhaoshi,65.3,e6b99a3e6021b76c77a89d301c8005dd,74,-66;-66,4,460,0,46000,2147483647;2147483647,3,[],20000,153906510,39148,21491,-66;-66,-4;-4,3
vivo,V2047A,11,4G,China Telecom,shanxisheng,hanzhongshi,0.7,dfbadcfb1764cd7a5ec4b54d8984faca,44,-96;-96;-96;-96;-96;-96;-96;-96;-96;-96;-96;-96;-96;-96;-96;-96;-96;-96;-96;-96;-96;-96;-96,2,460,11,46011,2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647,5,[],20000,56803377,1850,10281,-96;-96;-96;-96;-96;-96;-96;-96;-96;-96;-96;-96;-96;-96;-96;-96;-96;-96;-96;-96;-96;-96;-96,-17;-17;-17;-17;-17;-17;-17;-17;-17;-17;-17;-17;-17;-16;-16;-16;-16;-16;-16;-16;-16;-17;-17,0
vivo,V2047A,11,4G,China Telecom,guangdongsheng,foshanshi,17.8,4bbaa8ba653e6686c4d3640fabfec65f,17,-123;-123,0,460,11,46011,-75;-75,3,[],20000,70396883,300,9595,-123;-123,-9;-9,0
realme,RMX3031,12,4G,China Mobile,guangxizhuangzuzizhiqu,baiseshi,0.1,0d1f9a36b734b29056aeb0721dee4582,40,-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100,2,460,0,46000,2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647,13,['8'],2147483647,246469196,3590,30825,-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100,-12;-12;-12;-12;-12;-12;-12;-12;-12;-11;-11;-11;-11;-11;-12;-12;-12;-12;-12;-11;-11;-11,0
vivo,V1938CT,10,4G,China Mobile,hunansheng,chenzhoushi,38.3,e603a601413903dc4496f9e7bcf4b438,49,-91;-91;-91;-91,3,460,11,46011,2147483647;2147483647;2147483647;2147483647,0,['Added in API level 30'],10000,20541844,2452,35725,-91;-91;-91;-91,-6;-6;-6;-6,12
vivo,V2072A,11,4G,China Unicom,tianjinshi,tianjinshi,11.1,b2a7e092f739da37fe4332bd97a4e6f8,56,-84;-84;-84;-84;-84;-84;-84;-84;-84;-86;-86;-86;-86;-86;-86;-86;-86,4,460,1,46001,-83;-83;-83;-83;-83;-83;-83;-83;-83;-85;-85;-85;-85;-85;-85;-85;-85,8,[],2147483647,14727446,1700,8546,-84;-84;-84;-84;-84;-84;-84;-84;-84;-86;-86;-86;-86;-86;-86;-86;-86,-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12,2
vivo,V2046A,11,4G,China Unicom,sichuansheng,dazhoushi,13.2,fc1718d3df8c7247d871890a92a3b71e,43,-97;-97,2,460,0,46000,2147483647;2147483647,0,[],20000,243307531,38400,33419,-97;-97,-9;-9,2
vivo,V2046A,11,4G,China Mobile,shandongsheng,dongyingshi,4.7,c07bc6bc0095b14204f36c91a3e188eb,29,-111;-111;-111;-111;-111;-111;-111;-111;-111;-110;-110;-110;-110;-110;-109;-109;-109;-109;-109;-110;-110;-110,1,460,0,46000,-75;-75;-75;-75;-75;-69;-69;-69;-69;-69;-69;-69;-69;-69;-65;-65;-65;-65;-65;-63;-63;-63,8,[],10000,157465196,3590,21464,-111;-111;-111;-111;-111;-111;-111;-111;-111;-110;-110;-110;-110;-110;-109;-109;-109;-109;-109;-110;-110;-110,-11;-11;-11;-11;-11;-12;-12;-12;-12;-12;-12;-12;-12;-12;-13;-13;-13;-13;-13;-13;-13;-13,0
