brand,model,os_version,network_type,user_isp_id,user_region_id,user_city_id,bandwidth_Mbps,user_uid,cell_asuLevel,cell_dbm,cell_level,cell_mcc,cell_mnc,cell_bands,cell_tac,cell_nrarfcn,cell_csiRsrp,cell_csiRsrq,cell_csiSinr,cell_ssRsrp,cell_ssRsrq,cell_ssSinr
vivo,V2072A,11,5G,China Mobile,sichuansheng,nanchongshi,431.3,7126ae85bfeed56741006c5873c9d84a,96,-44;-44,4,460,0,[],280372,504990,-44,-3,2147483647,-44;-44,-3;-3,40;40
OPPO,PDCM00,11,5G,China Telecom,hebeisheng,hengshuishi,500.8,1c7bf27bf55393042b20dfc164eee47a,96,-44;-44;-44;-44;-44;-44;-44;-44;-44,4,460,1,[],2359297,633984,-44,-3,2147483647,-44;-44;-44;-44;-44;-44;-44;-44;-44,-3;-3;-3;-3;-3;-3;-3;-3;-3,40;40;40;40;40;40;40;40;40
vivo,V2121A,11,5G,China Mobile,zhejiangsheng,wenzhoushi,289.6,1ea204146a8b9e4bf6071b6991ce2a6d,96,-44;-44;-44;-44;-44,4,460,0,[],125057,504990,-44,-3,2147483647,-44;-44;-44;-44;-44,-3;-3;-3;-3;-3,40;40;40;40;40
vivo,V2031A,10,5G,China Unicom,beijingshi,beijingshi,223,545058d98eea2acb2ecbcea746e60377,97,70;70,0,460,1,['Added in API level 30'],6301,627264,255,255,255,70;70,70;70,87;87
vivo,V2121A,11,5G,China Unicom,chongqingshi,chongqingshi,258.1,728e8e36a14aad81b19765d2114b1374,96,-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44,4,460,11,[],952,627264,-44,-3,2147483647,-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44,-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3,40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40
OPPO,PERM00,11,5G,China Unicom,guangdongsheng,zhongshanshi,206.8,f51ada0b7e5d19b096225e24995e433e,96,-44;-44;-44;-44;-44;-44;-44,4,460,1,[],8560128,627264,-44,-3,2147483647,-44;-44;-44;-44;-44;-44;-44,-3;-3;-3;-3;-3;-3;-3,40;40;40;40;40;40;40
Xiaomi,21091116AC,11,5G,China Unicom,jiangxisheng,ganzhoushi,553.4,bebb450710b3168f1c8e1c22b954c9e7,96,-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44,4,460,1,[],7290891,627264,-44,-3,2147483647,-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44,-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3,40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40
vivo,V2162A,11,5G,China Unicom,guangxizhuangzuzizhiqu,wuzhoushi,309.7,843690b72fe9256990312f75a2c38058,96,-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44,4,460,11,[],2147483647,627264,-44,-3,2147483647,-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44,-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3,40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40
vivo,V2068A,11,5G,China Telecom,guangdongsheng,zhongshanshi,585.4,9f83364eba7bec1f373938a3528a7990,96,-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44,4,460,1,[],8557056,627264,-44,-3,2147483647,-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44,-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3,40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40
OPPO,PDYT20,11,5G,China Mobile,henansheng,luoyangshi,413.6,ed97cb8b9fd21292c862abfc16dc486b,96,-44;-44,4,460,0,[],4208672,504990,-44,-3,2147483647,-44;-44,-3;-3,40;40
