brand,model,os_version,network_type,user_isp_id,user_region_id,user_city_id,bandwidth_Mbps,user_uid,wifi_rssi,wifi_linkSpeed,wifi_hiddenSSID,wifi_frequency,wifi_rxLinkSpeedMbps,wifi_txLinkSpeedMbps,wifi_maxSupportedRxLinkSpeedMbps,wifi_maxSupportedTxLinkSpeedMbps,wifi_wifiStandard
vivo,V2024A,11,WIFI,China Telecom,jiangxisheng,jingdezhenshi,10.3,f8d35ae5205b04dcc048f4637a726572,-54;-54;-55;-55;-54,286;286;286;286;286,FALSE,2462,149;149;149;149;206,137;137;149;149;206,573,573,6
realme,RMX2202,12,WIFI,China Telecom,guangdongsheng,guangzhoushi,654.1,d7f0400b2bf30482e03d823bb223582a,-56;-56;-56;-56;-56;-56;-56;-56;-55;-55;-55;-55;-55;-55;-57;-57;-57;-57;-57;-57;-59;-59,2401;2401;2401;2401;2401;2401;2401;2401;2401;2401;2401;2401;2401;2401;2401;2401;2401;2401;2401;2401;2401;2401,FALSE,5200,2401;2401;2401;2401;2401;2401;2401;2401;2401;2401;2401;2401;2401;2401;2401;2401;2401;2401;2401;2401;2401;2401,2401;2401;2401;2401;2401;2401;2401;2401;2401;2401;2401;2401;2401;2401;2401;2401;2401;2401;2401;2401;2401;2401,2401,2401,6
vivo,V1981A,11,WIFI,China Telecom,zhejiangsheng,shaoxingshi,158.9,51786576d2ef0c216885df989e9b463a,-45;-45;-43;-43;-42;-42;-41;-41;-41;-41;-39;-39;-41;-41;-42;-42;-42;-42;-41;-41;-45;-45,286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286,FALSE,2412,286;286;286;286;286;286;286;286;286;286;258;258;286;286;258;258;229;229;206;206;258;258,129;129;206;206;103;103;114;114;143;143;129;129;103;103;137;137;149;149;149;149;206;206,286,286,6
vivo,V1981A,11,WIFI,China Telecom,zhejiangsheng,shaoxingshi,646.6,51786576d2ef0c216885df989e9b463a,-49;-49;-49;-45;-45;-44;-44;-45;-45;-45;-45;-43;-43;-43;-43;-43;-42;-42;-42;-42;-44;-44,1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200,FALSE,5180,960;960;960;1080;1080;1080;1080;1080;1080;1080;1080;960;960;960;1080;1080;720;720;1200;1200;960;960,960;960;960;960;960;960;960;960;960;960;960;960;960;960;960;960;960;960;1080;1080;864;864,1200,1200,6
vivo,V2141A,11,WIFI,China Telecom,hunansheng,changdeshi,505.1,f92fe196f9a36127192e50563ca7cfda,-39;-39;-39;-39;-39;-39;-38;-38;-38;-38;-38;-38;-38;-38;-38;-38;-38;-38;-38;-38;-38;-38,1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200,FALSE,5745,6;6;432;432;960;960;960;960;960;960;864;864;864;864;960;960;960;960;960;960;960;960,576;576;576;576;576;576;626;626;626;626;626;626;576;576;626;626;626;626;576;576;576;576,1200,1200,6
vivo,V2055A,11,WIFI,China Telecom,shandongsheng,taianshi,1106.6,e7ff474106a4f5c8e2092ff49d38c3b0,-29;-29;-29;-25;-25;-26;-26;-28;-28;-27;-27;-25;-25;-25;-25;-25;-25;-25;-25;-24;-24;-25,1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200,FALSE,5180,1080;1080;1080;1080;1080;1200;1200;1200;1200;1200;1200;1200;1200;1080;1080;1200;1200;1200;1200;1200;1200;1200,1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200,1200,1200,6
OPPO,PEDM00,11,WIFI,China Unicom,tianjinshi,tianjinshi,768.8,798006a285cc948f2f902f601494bd79,-39;-39;-39;-39;-39;-37;-37;-37;-37;-37;-37;-36;-36;-36;-36;-36;-36;-37;-37;-37;-37;-37,1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200,FALSE,5300,1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200,1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200,1200,1200,6
vivo,V2046A,11,WIFI,China Unicom,neimengguzizhiqu,baotoushi,425.5,7f7ee07e007c74d4b82eacb80e085b66,-42;-42;-42;-42;-42;-42;-43;-43;-43;-43;-42;-42;-42;-42;-43;-43;-43;-43;-44;-44;-44;-44,1200;1200;960;960;960;960;960;960;864;864;864;864;720;720;864;864;960;960;864;864;960;960,FALSE,5765,1200;1200;1200;1200;1080;1080;24;24;648;648;864;864;864;864;720;720;720;720;720;720;720;720,1200;1200;960;960;960;960;960;960;864;864;864;864;720;720;864;864;960;960;864;864;960;960,1200,1200,6
OPPO,PEEM00,11,WIFI,China Telecom,sichuansheng,chengdushi,701.1,91c8becb462df7f82b5b1f601c88dbce,-29;-29;-29;-29;-29;-29;-29;-29,1200;1200;1200;1200;1200;1200;1200;1200,FALSE,5180,1200;1200;1200;1200;1200;1200;1200;1200,1200;1200;1200;1200;1200;1200;1200;1200,1200,1200,6
vivo,V2154A,11,WIFI,China Telecom,hubeisheng,wuhanshi,996.3,fe39ff5e3e2e8a137123c729dff6c841,-26;-26;-26;-26;-25;-25;-25;-25;-25;-25;-25;-25;-25;-25;-25;-25;-25;-25;-25;-25;-25;-25,1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200,FALSE,5765,1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200,1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200,1200,1200,6
